gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
DIAPH3,Stim48hr,-2.162067744913805,-0.6648955709556088,True,untested,0.375,not_in_atlas,-0.003,-1.42,0,unannotated,False,2.9155169362284514,0.8,2.6239652426056064
DGKD,Rest,-2.1534658529189152,-0.8236243990493273,True,untested,0.375,not_in_atlas,-0.028,-1.89,0,unannotated,False,2.9133664632297287,0.8,2.622029816906756
ZSWIM6,Stim8hr,-2.1449294346305847,-0.8807376757715487,True,untested,0.375,not_in_atlas,0.046,-0.49,0,unannotated,False,2.9112323586576463,0.8,2.620109122791882
FRMD6,Stim8hr,-2.0434269502486977,-0.7999234929648406,True,untested,0.375,not_in_atlas,0.082,0.2,0,unannotated,False,2.9108567375621743,0.8,2.619771063805957
MSH2,Stim48hr,-2.0969026850761496,-0.6543997800926257,True,untested,0.375,not_in_atlas,0.076,0.08,0,unannotated,False,2.909225671269037,0.8,2.618303104142133
FNBP1,Rest,-2.1262405864210403,-0.6447024704538267,True,untested,0.375,not_in_atlas,-0.046,-2.24,0,unannotated,False,2.90656014660526,0.8,2.6159041319447343
HSF2,Stim8hr,-2.0988891605413413,-0.2973882092252695,True,untested,0.5,moderate,0.098,0.5,1,TF (hard),False,3.0872222901353354,0.5,2.6154167176015015
SCAF1,Rest,-2.1119676808223073,0.5903567856477986,True,untested,0.375,not_in_atlas,0.07,-0.02,0,unannotated,False,2.9029919202055767,0.8,2.612692728185019
SETX,Stim48hr,-2.092407491107515,-0.8488741869307196,True,untested,0.375,not_in_atlas,-0.06,-2.49,0,unannotated,False,2.898101872776879,0.8,2.608291685499191
HERPUD1,Stim8hr,-2.0028446243374516,-0.83398269459678,True,untested,0.375,not_in_atlas,0.075,0.07,0,unannotated,False,2.884461156084363,0.8,2.596015040475927
ARMC1,Rest,-2.035848643461397,-0.6010435042538913,True,untested,0.375,not_in_atlas,0.05,-0.4,0,unannotated,False,2.8839621608653494,0.8,2.5955659447788144
USP34,Rest,-2.0304387593688906,-0.8256497313950245,True,untested,0.375,not_in_atlas,-0.026,-1.85,0,unannotated,False,2.882609689842223,0.8,2.5943487208580005
THAP7,Stim48hr,-2.166198507470887,-0.3030053828841665,True,untested,0.5,moderate,0.053,-0.36,1,TF (hard),False,3.041549626867722,0.5,2.5811622201507913
IKBKB,Stim8hr,-2.116545498469835,-0.11503404279328765,True,untested,0.5,concordant,0.057,-0.28,3,small-molecule,False,3.0291363746174587,0.1,2.5660250060396024
RAB21,Rest,-2.178034214138259,-0.17715426741818585,True,untested,0.5,moderate,0.211,2.66,0,unannotated,False,3.377008553534565,0.5,2.5327564151509234
NAALADL1,Stim48hr,-2.211592923418752,-0.9215421114312572,True,untested,0.375,concordant,0.021,-0.95,3,small-molecule,False,2.927898230854688,0.1,2.5103440269700785
DNAJB9,Stim8hr,-2.9601077858621694,-0.14561268449286607,False,robust,0.75,novel_selective,0.022,-0.93,0,unannotated,False,2.4900269464655422,1.0,2.4900269464655422
ARL1,Stim48hr,-2.675417642673378,-0.41298690422321394,True,robust,0.75,concordant,0.115,0.82,0,unannotated,False,4.521354410668344,0.1,2.4867449258675896
TMEM263,Rest,-2.7578955213127996,0.6118682338490576,True,untested,0.5625,moderate,0.057,-0.27,0,unannotated,False,3.2519738803282,0.5,2.43898041024615
CBX5,Stim48hr,-2.4320053446491308,0.8759570631690875,True,robust,0.375,concordant,0.232,3.04,0,unannotated,False,4.363001336162283,0.1,2.3996507348892555
SEC23A,Stim8hr,-2.3616151877288205,-0.49621565428280967,True,untested,0.5,moderate,0.011,-1.14,0,unannotated,False,3.090403796932205,0.5,2.317802847699154
SORL1,Stim48hr,-2.08222727431192,-0.5705297290437529,True,untested,0.375,moderate,0.138,1.26,0,unannotated,False,3.0530568185779803,0.5,2.289792613933485
ANKRD11,Rest,-2.04876263848323,-0.8904879671957043,True,untested,0.375,moderate,0.102,0.58,0,unannotated,False,2.959690659620807,0.5,2.219767994715605
SSR1,Rest,-2.1332692412109693,-0.971025955220144,True,untested,0.375,moderate,-0.013,-1.6,0,unannotated,False,2.9083173103027424,0.5,2.181237982727057
SACM1L,Stim48hr,-2.0936984109987664,-0.923801478253174,True,untested,0.375,moderate,-0.009,-1.54,0,unannotated,False,2.8984246027496914,0.5,2.1738184520622683
ACOT7,Stim8hr,-2.01210125868748,-0.9611257728703484,True,untested,0.375,moderate,0.038,-0.63,0,unannotated,False,2.87802531467187,0.5,2.1585189860039025
TAF1,Rest,-2.5910354976027694,-0.21920829658087693,False,untested,0.75,not_in_atlas,0.063,-0.16,3,small-molecule,False,1.3977588744006924,0.8,2.157982986960623
UFC1,Rest,-2.0870828342911136,-0.6626452104578746,True,robust,0.375,concordant,0.062,-0.18,0,unannotated,False,3.8967707085727783,0.1,2.143223889715028
SLC1A6,Stim48hr,-2.4277844975983482,-0.5602538954876977,False,untested,0.375,not_in_atlas,0.18,2.06,3,small-molecule,False,1.2394461243995871,0.8,2.0155015119596285
